Sno,src_loc,date,time,ang_wdt,vcdaw,spce_spd,fht_spd2,20RS_spd2,accel,mass ,KE,mpa ,src_typ,NOAA,onset_time,hale_class,flr_class,flr_dt,flr_tm,icme_dst_dt,icme_dst_tm,plsm_strt_dt,plsm_strt_tm,plsm_end_dt,plsm_end_tm,comp_strt,comp_end,qual,dv ,v,min_dst_icme ,v_max ,meanB,mc,v_trans ,trans_time ,icme_sz ,Icme_min_Bz,sheath_spd ,sheath_sz ,sheath_dst,sheath Bz
282,N23W40,2023/07/23,15:05,360,779,980,896,871,14.6*1,1.1e+15*2,3.3e+30*2,299,AR,13376,13:53,α,,,,2023/07/25,22:33:00,2023/07/26,17:00:00,2023/07/28,11:00,,,2,110,460,-52q,570,7,0,750,55,,,,,,
283,N14W32,2023/08/02,9:12,360,572,778,494,513,-6.9*1,8.7e+15*2,1.4e+31*2,256,AR,13386,8:29,β,,,,2023/08/05,2:55:00,2023/08/05,18:00:00,2023/08/06,14:00,,,3,6,350,-93q,440,8,1,630,65,,,,,,
284,N09W50,2023/08/30,22:00,263,634,,671,664,3.6*1,4.4e+15*2,8.9e+30*2,79,AR,13413,21:21,β,,,,2023/09/02,4:34:00,2023/09/02,20:00:00,2023/09/04,0:00,,,2,40,490,-61q,720,7,0,760,54,,,,,,
285,N16W72,2023/09/14,7:24,360,804,877,857,841,6,----,----,304,AR,13423,7:01,β,,,,2023/09/17,2:34:00,2023/09/18,2:00:00,2023/09/19,0:00,,,2,70,430,-23q,480,10,1,620,66,,,,,,
286,N08W15,2023/09/16,9:12,360,703,943,861,833,15.8*1,----,----,274,AP,13434,8:44,α,,,,2023/09/18,13:31:00,2023/09/19,8:00:00,2023/09/21,10:00,,,3,110,510,-85q,640,6,0,790,52,,,,,,
287,N27W40,2023/09/22,7:36,86,729,,968,1197,49.4*1,----,----,351,AR,13443,6:45,β,,,,2023/09/24,20:43:00,2023/09/25,9:00:00,2023/09/26,11:00,,,1,110,440,-69q,480,19,2,630-680,#VALUE!,,,,,,
288,N16E34,2023/10/02,18:24,76,436,,393,424,-2.1*1,----,----,81,AR,13451,17:54,βδ,,,,2023/10/05,22:25:00,2023/10/06,16:00:00,2023/10/07,18:00,,,2,50,370,-17q,490,6,0,550,75,,,,,,
289,S08W12,2023/11/09,11:48,360,573,861,411,509,-11.3*1,----,----,328,AR,13480,11:18,β,,,,2023/11/12,6:13:00,2023/11/12,12:00:00,2023/11/13,17:00,,,3,70,460,-42q,570,8,1,630,65,,,,,,
290,S20W04,2023/11/28,20:12,360,741,1162,684,673,-7.3*1,----,----,285,AR,13500,19:51,βγ,,,,2023/12/01,9:26:00,2023/12/01,20:00:00,2023/12/03,0:00,,,1,100,460,-107q,530,14,2,680,60,,,,,,
291,N10W34,2023/12/13,0:00,155,367,,360,346,-0.9*1,----,----,301,AR,13514,12/12/23 22:56,β,,,,2023/12/15,11:48:00,2023/12/15,22:00:00,2023/12/16,12:00,,,3,120,500,-33q,510,8,0,500-690,#VALUE!,,,,,,
292,N07W48,2023/12/14,17:12,360,948,1009,872,921,-8,----,----,291,AR,13514,16:54,β,,,,2023/12/17,7:39:00,2023/12/17,22:00:00,2023/12/18,15:00,,,3,80,470,-83q,530,11,0,580-670,#VALUE!,,,,,,
