Sno,src_loc,date,time,ang_wdt,vcdaw,spce_spd,fht_spd2,20RS_spd2,accel,mass ,KE,mpa ,src_typ,NOAA,onset_time,hale_class,flr_class,flr_dt,flr_tm,icme_dst_dt,icme_dst_tm,plsm_strt_dt,plsm_strt_tm,plsm_end_dt,plsm_end_tm,comp_strt,comp_end,qual,dv ,v,min_dst_icme ,v_max ,meanB,mc,v_trans ,trans_time ,icme_sz ,Icme_min_Bz,sheath_spd ,sheath_sz ,sheath_dst,sheath Bz
50,S23W44,2000/05/13,12:26,>182,666,,755,723,10.8,4.1e+15*2,9.1e+30*2,178,AR,8993,11:24,β,C3.8,,,2000/05/16,23:00:00,2000/05/16,23:00:00,2000/05/17,7:00:00,0,0,2,130,550,-92,580,9,1,500,82,,,,,,
51,N12W08,2000/05/20,14:50,>139,349,,349,353,0.2*1,3.0e+14*2,1.8e+29*2,200,AR,9004,13:35,β,,,,2000/05/22,17:00:00,2000/05/23,9:00:00,2000/05/23,21:00:00,0,nc,2,70,570,-10,610,8,0,830,50,,,,,,
52,N12W20,2000/05/21,7:26,>138,629,,490,327,-20.1,9.0e+15*2,1.8e+31*2,271,AR,9004,7:01,βδ,C2.7,,,2000/05/23,23:42 (W),2000/05/24,12:00:00,2000/05/27,10:00:00,nc,0,2,50 S,530,-147,690,5,1,650,63,,,,,,
53,S13W12,2000/05/31,8:06,>126,391,,481,478,5.5*1,1.9e+15*2,1.5e+30*2,29,AR,9017,6:55,βγ,,,,2000/06/04,15:02:00,2000/06/04,22:00:00,2000/06/06,22:00:00,-8,6,3,130 S,470,-35,560,9,0,403,102,,,,,,
54,N20E18,2000/06/06,15:54,360,1119,1348,1130,1125,1.5,1.8e+16*2,1.1e+32*2,47,AR,9026,15:21,βγδ,X2.3,,,2000/06/08,9:10:00,2000/06/08,12:00:00,2000/06/10,17:00,24,7,2,260 S,610,-90,770,11,0,1007,41,,,,,,
55,N04E00,2000/07/07,10:26,360,453,766,554,622,10.8,1.8e+15*2,1.9e+30*2,193,AR,9070,9:36,β,C5.6,,,2000/07/10,6:38:00,2000/07/11,2:00:00,2000/07/11,14:00,0,6,2,90 S,440,0,490,13,0,609,68,,,,,,
56,N18E27,2000/07/11,13:27,360,1078,1260,850,902,-42.9,1.1e+16*2,6.2e+31*2,63,AR,9077,12:47,βγδ,X1,,,2000/07/13,9:42:00,2000/07/13,13:00:00,2000/07/14,15:00,,,3,200 S,610,-43,670,7,2H,940,44,,,,,,
57,N22W07,2000/07/14,10:54,360,1674,2061,1534,1147,-96.1*1,1.4e+16*2,1.9e+32*2,273,AR,9077,10:28,βγδ,X5.7,,,2000/07/15,14:37:00,2000/07/15,19:00:00,2000/07/17,8:00,0,28,2,350 S,740,-301,1040,20,2,1500,27,,,,,,
58,S13E30,2000/07/17,8:54,116,788,,1060,1025,30.7,7.50E+15,2.30E+31,61,AR,9087,8:28,βγ,C5.3,,,2000/07/19,15:27:00,2000/07/20,1:00:00,2000/07/21,8:00,0,,2,100 S,530,-93,630,8,0,,#DIV/0!,,,,,,
59,N06E11,2000/07/23,5:30,>181,631,,516,299,-20.4,3.1e+15*2,6.1e+30*2,166,AR,9097,4:55,βγ,,,,2000/07/26,18:57:00,2000/07/27,2:00:00,2000/07/28,2:00,0,-4,2,50 S,360,-42,400,6,1,490,84,,,,,,
